candidate_id,name,name_bn,area,address,latitude,longitude,theme,theme_year,description,opening_time,closing_time,parking,toilet,food,medical_assistance,accessibility,contact,crowd_status,verification_status,source,source_url,verification_notes,verified_by,photograph_status
OWNER-01,Keshabganj Chati Barowari,কেশবগঞ্জ চটি বারোয়ারি,Keshabganj Chati,"Keshabganj Chati, G.T. Road, Bardhaman",23.2568,87.8385,আমি নারী আমি মহীয়সী,2025,Prominent landmark community puja on the western gateway of Bardhaman along G.T. Road.,,,,,,,,,Moderate,OWNER SUPPLIED,Project Owner Supplied / Local Press Coverage,https://purbabardhaman.nic.in,Location confirmed at Keshabganj Chati near G.T. Road. Theme supplied by owner (attributed to 2025 season); requires 2026 committee release for current year.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-02,Alamganj Barowari,আলামগঞ্জ বারোয়ারি,Alamganj,"Alamganj Main Road, Bardhaman",23.2428,87.8542,ভুবনেশ্বরী মন্দির,2025,One of the oldest and most revered community Durga Pujas in the Alamganj locality of Bardhaman town.,,,,,,true,,,Moderate,OWNER SUPPLIED,Project Owner Supplied / Burdwan Municipality Directory,https://burdwanmunicipality.gov.in,Location verified at Alamganj. Theme supplied by owner (documented 2025 theme architecture); 2026 theme awaiting committee announcement.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-03,Chowranghee Club,চৌরঙ্গী ক্লাব,Chowranghee,"Chowranghee Crossing, Khosbagan-Borehat Link, Bardhaman",23.2455,87.8580,নীল পরীর দেশে,2025,Popular youth club Durga Puja celebrated near Chowranghee junction.,,,false,,,,,,Low,OWNER SUPPLIED,Project Owner Supplied / Local Club Registry,,Crossing location verified. Congested junction; parking restricted. Theme owner-supplied; pending 2026 confirmation.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-04,Laltu Smriti Sangha,লালটু স্মৃতি সংঘ,Borehat,"Borehat, G.T. Road, Bardhaman",23.2480,87.8510,তিরুপতি বালাজি মন্দির,2025,Well-known community club puja renowned for elaborate mandap art and lighting displays.,,,,,,,,,Moderate,OWNER SUPPLIED,Project Owner Supplied / Local News Reports,,Borehat neighborhood location confirmed. Theme represents acclaimed temple replication architecture; pending 2026 committee circular.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-05,Subhas Athletic Club,সুভাষ অ্যাথলেটিক ক্লাব,Subhaspally,"Subhaspally Ground, Bardhaman",23.2492,87.8690,বাহন বন্দে ভারত ভূস্বর্গে মা,2025,Sports club organized puja drawing neighborhood families and youth visitors.,,,,,,,,,Low,OWNER SUPPLIED,Project Owner Supplied / Subhaspally Civic Records,,Subhaspally ground footprint verified. Theme recorded as owner-supplied 2025 title.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-06,Badamtala Khaluibil Sarbojanin,বাদামতলা খালুইবিল সার্বজনীন,Badamtala,"Badamtala Khaluibil, Kalna Road, Bardhaman",23.2335,87.8660,আর্তনাদের ইতিকথা,2025,Prominent community Durga Puja situated along the Kalna Road Badamtala belt.,,,,,,,,,Moderate,OWNER SUPPLIED,Project Owner Supplied / Anandabazar District Bureau,https://anandabazar.com,Corresponds to the Badamtala candidate (potential duplicate with Candidate RES-06; designated as canonical record for Badamtala Khaluibil).,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-07,Burirbagan Sarbojanin,বুড়িরবাগান সার্বজনীন,Burirbagan,"Burirbagan, G.T. Road bypass, Bardhaman",23.2410,87.8820,মাতৃঋণ,2025,Locality community puja celebrated with social awareness thematic pandals.,,,,,,,,,Low,OWNER SUPPLIED,Project Owner Supplied / Bartaman District Edition,https://bartamanpatrika.com,Burirbagan zone verified within municipal boundary. Theme owner-supplied; awaiting 2026 updates.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-08,Barashul Young Mens Association,বড়শুল ইয়ং মেন্স এসোসিয়েশন,Barashul,"Barashul Bazar, Burdwan II Block, Purba Bardhaman",23.2340,87.9890,লালকেল্লা,2025,Major rural-urban fringe mega puja in Barashul area drawing wide rural crowds.,,,true,,,,,,Moderate,OWNER SUPPLIED,Project Owner Supplied / Sangbad Pratidin Purba Bardhaman,https://sangbadpratidin.in,Confirmed in Purba Bardhaman (Burdwan-II Block). Open field accommodates rural parking. Theme replicates Red Fort architecture.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-09,Tikorhat Sarbojanin,টিকরহাট সার্বজনীন,Tikorhat,"Tikorhat Main Road, Bardhaman",23.2290,87.8745,৪৬ এর আর্তনাদ,2025,Historical community puja of southern Bardhaman town known for thoughtful thematic artwork.,,,,,,,,,Low,OWNER SUPPLIED,Project Owner Supplied / Local Cultural Periodical,,Tikorhat location verified. Thematic concept reflects 1946 Bengal history. Owner-supplied theme.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
OWNER-10,Barashul Jagarani,বড়শুল জাগরণী,Barashul,"Barashul, Purba Bardhaman",23.2365,87.9920,রঙ্গমঞ্চ,2025,Renowned club puja in Barashul celebrated for cultural stage productions and artistic pandals.,,,true,,,,,,Moderate,OWNER SUPPLIED,Project Owner Supplied / Local Panchayat Records,,Barashul jurisdiction verified. Theme owner-supplied; awaiting 2026 announcement.,Editorial Review,OWNER/COMMITTEE PHOTO NEEDED
