name,area,address,latitude,longitude,theme,description,opening_time,closing_time,parking,toilet,food,medical_assistance,accessibility,contact,crowd_status,verified,source,verification_notes,verified_by
Alamganj Barowari Durga Puja,Alamganj,"Alamganj Main Road, Bardhaman",23.2428,87.8542,,Historic community Durga Puja in Alamganj area of Bardhaman town.,,,,,,true,,,Low,true,Burdwan Municipality Puja Registry / Anandabazar Bardhaman Bureau,Location and pandal grounds verified at Alamganj. Medical booth supported by civic volunteers.,Research Team
Khosbagan Sarbojanin Durgotsav,Khosbagan,"Khosbagan Medical Area, Bardhaman",23.2482,87.8631,,Prominent community puja situated near the central medical hub of Khosbagan.,,,false,,,true,,,Low,true,Burdwan Municipality / West Bengal District Police Traffic Advisory,Medical emergency hub zone. Parking restricted by police order.,Research Team
Telipukur Sarbojanin Durgotsav Samity,Telipukur,"Telipukur, G.T. Road, Bardhaman",23.2386,87.8712,,Major G.T. Road arterial community Durga Puja known for large footfall.,,,,,,true,,,Moderate,true,District Traffic Advisory & Route Guide / Sangbad Pratidin Purba Bardhaman,G.T. Road junction crossing confirmed. First-aid post verified.,Research Team
Nutanganj Sarbojanin Durga Puja,Nutanganj,"Nutanganj Market Area, Bardhaman",23.2465,87.8768,,Historic commercial and community puja in the commercial hub of Nutanganj.,,,,,,,,,Low,true,Purba Bardhaman District Cultural & Puja Directory / Bartaman Patrika,Verified location in Nutanganj wholesale market hub. Facilities unconfirmed so left blank.,Research Team
Police Line Sarbojanin Durgotsav,Police Line,"Police Lines Ground, Bardhaman",23.2532,87.8495,,"Organized at the Police Lines ground, notable for open space and systematic traffic flow.",,,true,true,,true,,,Low,true,District Police Public Advisory / Bardhaman Municipal Notice,Dedicated open ground parking and civic sanitation arrangements verified.,Research Team
Badamtala Sarbojanin Durga Puja,Badamtala,"Badamtala, Kalna Road, Bardhaman",23.2335,87.8660,,Traditional community puja located near the Badamtala junction.,,,,,,,,,Low,true,Burdwan Municipality Civic Directory / Anandabazar Patrika District Bureau,Coordinates and location verified near Badamtala crossing.,Research Team
Katwa Ghoshpara Sarbojanin Durga Puja,Katwa,"Ghoshpara, Katwa",23.6442,88.1328,,"Prominent community Durga Puja in Katwa sub-division, Purba Bardhaman.",,,,,,,,,Low,true,Purba Bardhaman District Administration Sub-divisional Report (Katwa) / Local Press,Confirmed within Katwa municipal boundary. Facility data omitted pending checklist.,Research Team
Kalna Barowari Durga Puja,Kalna,"Durgadas Ground, Near 108 Shiva Temples, Kalna",23.2215,88.3685,,Heritage community puja situated near the historical temple precinct in Ambika Kalna.,,,,,,,,,Low,true,West Bengal Tourism & District Heritage Guide / Kalna Municipality Records,Verified location adjacent to heritage complex in Kalna.,Research Team
Burdwan Sadar Hospital More Puja,Hospital More,"Near Burdwan Medical College, Bardhaman",23.2471,87.8610,,Local pandal organized adjacent to the Medical College campus.,,,,,,,,,Low,NEEDS REVIEW,Local Directory & Social Group Mentions,Club registration name and exact pandal footprint require field verification.,Research Team
Shaktigarh Sarbojanin,Shaktigarh,"Old G.T. Road, Shaktigarh",,,,Traditional community puja in Shaktigarh trade belt.,,,,,,,,,Low,UNVERIFIED,Regional Travel & Cultural Blogs,Precise entry coordinates and committee contacts unverified.,Research Team
